| Source Name |         RA2000 |          Dec2000 | PC | 90cm P:A | 90cm P:B | 90cm P:C | 90cm P:D | 90cm P:Flux | 20cm L:A | 20cm L:B | 20cm L:C | 20cm L:D | 20cm L:Flux | 6cm C:A | 6cm C:B | 6cm C:C | 6cm C:D | 6cm C:Flux | 3.7cm X:A | 3.7cm X:B | 3.7cm X:C | 3.7cm X:D | 3.7cm X:Flux | 2cm U:A | 2cm U:B | 2cm U:C | 2cm U:D | 2cm U:Flux | 1.3cm K:A | 1.3cm K:B | 1.3cm K:C | 1.3cm K:D | 1.3cm K:Flux | 0.7cm Q:A | 0.7cm Q:B | 0.7cm Q:C | 0.7cm Q:D | 0.7cm Q:Flux |
|    0044+663 |    11.17190125 |    66.3114180556 |  T |        X |        S |        S |        X |         7.0 |        X |        X |        S |        S |         1.7 |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |           |           |           |           |          nan |
|    0046+249 |  11.5326216667 |    24.9423908333 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         S |         S |         S |         S |         0.66 |
|    0047+569 |     11.7517975 |    56.9617755556 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.12 |
|    0047+245 |  11.9328141667 |    24.5877980556 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.24 |
|    0048+319 |  12.1964229042 |    31.9569680833 |  A |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.48 |
|    0049+514 |  12.4082920833 |    51.4704722222 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.23 |
|    0049+026 |  12.4301497042 |    2.61771616667 |  A |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |       S |       S |       S |       S |        0.5 |           |           |           |           |          nan |         W |         W |         W |         W |          0.5 |
|    0050-094 |  12.6721557917 |   -9.48478061389 |  A |          |          |          |          |         nan |        S |        X |        X |        X |         1.1 |       P |       P |       P |       P |       1.12 |         P |         P |         P |         P |         1.28 |       P |       P |       P |       P |        1.7 |           |           |           |           |          nan |         S |         S |         S |         S |          1.4 |
|    0051-068 |  12.7842074833 |   -6.83395226111 |  A |          |          |          |          |         nan |        X |        X |        X |        X |        0.83 |       X |       X |       S |       S |       0.58 |         X |         X |         P |         P |         0.72 |         |         |         |         |        nan |           |           |           |           |          nan |         ? |         S |         S |         S |         0.79 |
|    0054-035 |    13.53519375 |   -3.56537861111 |  T |        S |        S |        S |        S |         9.0 |        X |        X |        S |        S |         2.2 |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |           |           |           |           |          nan |
|    0054+681 |  13.5734320833 |       68.1864375 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.18 |
|    0054+708 |  13.5737016667 |       70.8990625 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.14 |
|    0056+164 |  14.2303923292 |    16.4203719333 |  C |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |       S |       S |       S |       S |        0.9 |           |           |           |           |          nan |         S |         S |         S |         S |          1.1 |
|    0057+303 |  14.4536806375 |    30.3524478139 |  A |          |          |          |          |         nan |        S |        X |        X |        X |         0.4 |       P |       S |       X |       X |       0.59 |         P |         P |         S |         X |         0.64 |       S |       S |       S |       S |        0.7 |           |           |           |           |          nan |         W |         W |         W |         W |          0.6 |
|    0058+063 |     14.6408575 |    6.33502333333 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.25 |
|    0059+001 |    14.77297885 |   0.114339363889 |  A |          |          |          |          |         nan |        P |        P |        P |        P |         2.5 |       S |       P |       P |       P |       1.35 |         X |         S |         P |         P |         0.96 |       X |       X |       S |       S |        0.7 |           |           |           |           |          nan |         W |         W |         W |         W |         0.42 |
|    0059-170 |  14.7778520833 |   -17.0107005556 |  T |          |          |          |          |         nan |        X |        X |        X |        S |         1.7 |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |           |           |           |           |          nan |
|    0059+582 |  14.9675870833 |    58.2065502778 |  C |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |         ? |         ? |         W |         W |         0.28 |         |         |         |         |        nan |           |           |           |           |          nan |         ? |         ? |         W |         W |         0.23 |
