| Source Name |         RA2000 |          Dec2000 | PC | 90cm P:A | 90cm P:B | 90cm P:C | 90cm P:D | 90cm P:Flux | 20cm L:A | 20cm L:B | 20cm L:C | 20cm L:D | 20cm L:Flux | 6cm C:A | 6cm C:B | 6cm C:C | 6cm C:D | 6cm C:Flux | 3.7cm X:A | 3.7cm X:B | 3.7cm X:C | 3.7cm X:D | 3.7cm X:Flux | 2cm U:A | 2cm U:B | 2cm U:C | 2cm U:D | 2cm U:Flux | 1.3cm K:A | 1.3cm K:B | 1.3cm K:C | 1.3cm K:D | 1.3cm K:Flux | 0.7cm Q:A | 0.7cm Q:B | 0.7cm Q:C | 0.7cm Q:D | 0.7cm Q:Flux |
|    1835+326 |  278.764131667 |    32.6963386111 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.13 |
|    1835+613 |   278.83198035 |    61.3277817444 |  A |          |          |          |          |         nan |        X |        X |        X |        X |         0.6 |       S |       S |       X |       X |       0.47 |         S |         S |         X |         X |         0.49 |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.12 |
|    1838+040 |  279.703454308 |    4.07351924167 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.39 |
|    1838+094 |  279.728482083 |    9.45774916667 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.15 |
|    1840+390 |  280.238142708 |    39.0127011333 |  A |          |          |          |          |         nan |        X |        X |        X |        X |        0.16 |       W |       W |       W |       W |       0.15 |         S |         S |         S |         S |         0.22 |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.14 |
|    1840+548 |     280.239075 |    54.8710888889 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.21 |
|    1842+797 |  280.537458137 |    79.7714244472 |  B |          |          |          |          |         nan |        X |        X |        X |        X |         5.0 |         |         |         |         |        nan |         S |         X |         X |         X |         0.54 |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.15 |
|    1842+681 |  280.640173483 |    68.1570077444 |  A |          |          |          |          |         nan |        S |        S |        X |        X |         0.4 |       P |       P |       S |       X |        0.7 |         P |         P |         P |         P |         0.81 |       S |       S |       S |       S |        0.9 |           |           |           |           |          nan |         W |         W |         W |         W |         0.65 |
|    1844+132 |     281.030265 |         13.20779 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.18 |
|    1845+401 |  281.296381229 |     40.130993625 |  B |          |          |          |          |         nan |        P |        P |        S |        S |         1.2 |       S |       S |       S |       S |        0.6 |         S |         S |         S |         S |         0.36 |         |         |         |         |        nan |           |           |           |           |          nan |           |           |           |           |          nan |
|    1845+356 |  281.396286958 |    35.6879795861 |  A |          |          |          |          |         nan |        S |        S |        X |        X |         1.0 |       P |       P |       S |       S |        0.8 |         S |         S |         S |         S |         0.47 |       X |       X |       X |       X |        0.2 |           |           |           |           |          nan |         X |         X |         X |         X |         0.05 |
|    1847+081 |  281.802755417 |    8.17649361111 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.12 |
|    1848+323 |  282.092035746 |    32.3173898611 |  A |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |       S |       S |       S |       S |        0.8 |           |           |           |           |          nan |         S |         S |         S |         S |          1.3 |
|    1848+327 |   282.14317155 |    32.7333720333 |  A |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |       S |       S |       S |       S |        0.5 |           |           |           |           |          nan |         W |         W |         W |         W |          0.6 |
|    1849+670 |  282.316967917 |    67.0949110917 |  A |          |          |          |          |         nan |        S |        S |        X |        X |         0.6 |       P |       P |       P |       X |       0.67 |         P |         P |         P |         P |          0.6 |       S |       S |       S |       S |        1.0 |           |           |           |           |          nan |         S |         S |         S |         S |          1.4 |
|    1849+304 |  282.333777083 |    30.4039413889 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.32 |
|    1850+499 |  282.592667083 |    49.9892894444 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.13 |
|    1850+284 |  282.614957529 |    28.4203209917 |  A |          |          |          |          |         nan |        X |        X |        X |        X |        0.26 |       P |       P |       P |       P |        1.0 |         P |         P |         P |         P |         1.15 |       S |       S |       S |       S |        0.7 |           |           |           |           |          nan |         W |         W |         W |         W |         0.52 |
|    1851+005 |   282.94467375 |   0.592337222222 |  C |          |          |          |          |         nan |        S |        S |        ? |        ? |         0.6 |       S |       ? |       ? |       ? |        0.6 |         S |         ? |         ? |         ? |          1.1 |       S |       ? |       ? |       ? |        1.1 |         S |         S |         S |         S |          1.1 |         S |         S |         S |         S |          0.7 |
|    1852+489 |  283.118949325 |    48.9298559528 |  A |          |          |          |          |         nan |        W |        X |        X |        X |         0.2 |       S |       S |       S |       S |       0.26 |         S |         S |         S |         S |         0.39 |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.24 |
|    1852+403 |  283.126552283 |    40.3185022889 |  A |          |          |          |          |         nan |        X |        X |        X |        X |        0.65 |       X |       X |       X |       S |       0.63 |         X |         X |         X |         S |         0.62 |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.35 |
|    1854+738 |  283.738749775 |    73.8555298528 |  A |          |          |          |          |         nan |        X |        X |        X |        X |         0.4 |       S |       S |       S |       X |        0.6 |         S |         S |         S |         S |          0.4 |       S |       S |       S |       S |        0.7 |           |           |           |           |          nan |         W |         W |         W |         W |         0.55 |
|    1856+061 |  284.132660833 |    6.17132055556 |  B |          |          |          |          |         nan |          |          |          |          |         nan |       S |       S |       ? |       ? |        0.3 |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |          0.4 |
|    1857+164 |  284.356649583 |    16.4155127778 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.13 |
|    1859+129 |  284.847488333 |    12.9866447222 |  T |        X |        X |        S |        S |        12.0 |        X |        X |        X |        S |         2.8 |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |           |           |           |           |          nan |
|    1900+273 |  285.144480417 |         27.37524 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.11 |
|    1902-234 |   285.70521875 |   -23.4978011111 |  T |        X |        X |        S |        S |        14.0 |        X |        X |        X |        S |         3.3 |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |           |           |           |           |          nan |
|    1902+319 |  285.733078625 |    31.9949172472 |  A |          |          |          |          |         nan |        X |        X |        X |        X |         2.9 |       X |       X |       X |       X |        1.4 |           |           |           |           |          nan |       ? |       ? |       X |       X |        1.1 |           |           |           |           |          nan |         ? |         S |         S |         S |          0.8 |
|    1903+556 |   285.79836375 |    55.6773463889 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.12 |
|    1904+156 |  286.059837083 |         15.61068 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.15 |
|    1907+014 |  286.799987083 |    1.45249277778 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |          0.3 |
|    1911-201 |  287.790220387 |    -20.115308075 |  A |          |          |          |          |         nan |        P |        P |        P |        P |         2.3 |       P |       P |       P |       P |        2.3 |         P |         P |         P |         P |          2.4 |       P |       P |       P |       P |        1.8 |           |           |           |           |          nan |         S |         S |         S |         S |          1.4 |
|    1911+161 |      287.99274 |    16.1963502778 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.18 |
|    1912+376 |  288.104681729 |    37.6768458306 |  A |          |          |          |          |         nan |        S |        S |        X |        X |        0.34 |       S |       S |       S |       S |       0.37 |         S |         S |         S |         S |         0.34 |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.23 |
|    1912+053 |     288.226265 |    5.30027833333 |  C |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |         W |         W |         W |         W |          0.3 |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.13 |
|    1914+166 |   288.56024875 |    16.6108394444 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.16 |
|    1915+658 |   288.84924635 |    65.8128846972 |  B |          |          |          |          |         nan |        S |        S |        X |        X |        0.63 |       S |       S |       S |       S |       0.37 |         S |         S |         S |         S |         0.22 |         |         |         |         |        nan |           |           |           |           |          nan |         X |         X |         X |         X |          0.0 |
|    1918+553 |  289.544794583 |    55.3440597222 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.26 |
|    1919+063 |    289.8222975 |    6.32854666667 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.13 |
|    1922+155 |   290.64457995 |    15.5027867028 |  B |          |          |          |          |         nan |        X |        X |        X |        X |         0.5 |       P |       P |       P |       P |        0.8 |         P |         P |         P |         P |          1.0 |       S |       S |       S |       S |        0.7 |           |           |           |           |          nan |         W |         W |         W |         W |         0.28 |
|    1923+479 |    290.8634575 |    47.9046783333 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.19 |
|    1923-210 |  290.884124229 |   -21.0759258556 |  A |          |          |          |          |         nan |        P |        P |        P |        P |         2.0 |         |         |         |         |        nan |         P |         P |         P |         P |          2.7 |         |         |         |         |        nan |           |           |           |           |          nan |         S |         S |         S |         S |          1.4 |
|    1924+334 |  291.072849583 |         33.49159 |  C |        S |        S |        X |        X |         8.0 |        P |        P |        P |        P |        3.88 |       P |       P |       P |       P |       1.75 |         P |         P |         P |         P |         1.18 |       S |       S |       S |       S |        0.7 |           |           |           |           |          nan |         W |         W |         W |         W |          0.3 |
|    1924+156 |  291.164399487 |    15.6788725806 |  A |          |          |          |          |         nan |        X |        X |        X |        X |        0.45 |       S |       S |       S |       S |       0.45 |         S |         S |         S |         S |         0.44 |       S |       S |       S |       S |        0.4 |           |           |           |           |          nan |         S |         S |         S |         S |         0.65 |
|    1924-292 |  291.212733154 |   -29.2417003194 |  A |        S |        S |        S |        X |         8.0 |        P |        P |        S |        X |         6.0 |       P |       P |       P |       S |        6.3 |         P |         P |         P |         P |          5.8 |       P |       P |       P |       P |       17.0 |           |           |           |           |          nan |         S |         S |         S |         S |          9.1 |
|    1925+211 |  291.498355708 |    21.1072672722 |  A |          |          |          |          |         nan |        P |        S |        S |        S |         1.3 |       P |       P |       S |       S |        1.5 |         P |         P |         P |         P |          1.0 |       P |       P |       P |       P |        1.8 |         S |         S |         S |         S |          0.9 |         S |         S |         S |         S |          1.0 |
|    1926+508 |   291.52634125 |    50.8825058333 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.33 |
|    1926+421 |  291.629376667 |    42.1663863889 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.17 |
|    1927+612 |  291.876844283 |    61.2924664472 |  A |          |          |          |          |         nan |        P |        P |        S |        X |         0.7 |       P |       P |       P |       P |        0.7 |         P |         P |         P |         P |          0.5 |       S |       S |       S |       S |        0.6 |           |           |           |           |          nan |         S |         S |         S |         S |         0.93 |
|    1927+739 |  291.952063317 |    73.9671027667 |  B |          |          |          |          |         nan |        P |        P |        S |        X |         3.1 |       P |       P |       P |       P |        3.0 |         P |         P |         P |         P |          3.7 |       P |       P |       P |       P |        2.0 |           |           |           |           |          nan |         S |         S |         S |         S |          2.2 |
|    1928+088 |  292.170231242 |    8.81344807222 |  A |          |          |          |          |         nan |        X |        X |        X |        X |         0.5 |       S |       S |       X |       X |        0.3 |         S |         S |         X |         X |         0.28 |       W |       W |       W |       W |        0.2 |         W |         W |         W |         W |         0.19 |         W |         W |         W |         W |         0.11 |
|    1929+051 |  292.333114583 |    5.13266555556 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.22 |
|    1929+257 |  292.437154167 |    25.7211730556 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.13 |
|    1930+155 |  292.719718333 |    15.5427783333 |  C |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |         X |         X |         X |         S |          0.6 |         |         |         |         |        nan |           |           |           |           |          nan |         ? |         ? |         W |         W |          0.4 |
|    1931+227 |  292.853819958 |    22.7253496861 |  A |          |          |          |          |         nan |        S |        S |        X |        X |        0.41 |       S |       S |       S |       S |        0.4 |         S |         S |         S |         S |         0.48 |       S |       S |       S |       S |        0.5 |         S |         S |         S |         S |         0.53 |         W |         W |         W |         W |         0.36 |
|    1933+656 |  293.488907917 |    65.6713405556 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.22 |
|    1935+205 |  293.793636996 |    20.5317095278 |  A |          |          |          |          |         nan |        X |        X |        X |        X |         0.2 |       S |       S |       S |       S |       0.34 |         S |         S |         S |         S |         0.47 |       W |       W |       W |       W |        0.4 |           |           |           |           |          nan |         W |         W |         W |         W |         0.29 |
|    1936+715 |  294.014836642 |    71.5254959444 |  A |          |          |          |          |         nan |        S |        S |        X |        X |        0.53 |       S |       S |       S |       S |       0.48 |         S |         S |         S |         S |          0.5 |         |         |         |         |        nan |           |           |           |           |          nan |         X |         X |         X |         X |          0.0 |
|    1937-399 |  294.317572342 |   -39.9670980722 |  A |          |          |          |          |         nan |        P |        P |        S |        S |         1.0 |       P |       P |       P |       P |        0.7 |         P |         P |         P |         P |          1.1 |       S |       S |       S |       S |        0.4 |           |           |           |           |          nan |         S |         S |         S |         S |         0.93 |
|    1937+361 |   294.38098625 |    36.1266238889 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.16 |
|    1937+839 |   294.41524375 |    83.9413836111 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.16 |
|    1938+048 |    294.6277875 |    4.80322805556 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.35 |
|    1939-154 |  294.861073917 |   -15.4286273111 |  A |          |          |          |          |         nan |        P |        P |        S |        X |         0.9 |       P |       P |       P |       P |        1.3 |         P |         P |         P |         P |         0.67 |       P |       P |       P |       P |        1.0 |           |           |           |           |          nan |         W |         W |         W |         w |         0.64 |
|    1939+382 |  294.889859583 |    38.2931658333 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.12 |
|    1939+372 |      294.96586 |    37.2251383333 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.14 |
|    1939-100 |  294.988569054 |   -10.0448669722 |  A |          |          |          |          |         nan |        S |        S |        S |        S |         0.8 |       S |       S |       S |       S |        0.7 |         S |         S |         S |         S |         0.47 |       X |       X |       X |       X |       0.25 |           |           |           |           |          nan |         X |         X |         X |         X |          0.0 |
|    1941-154 |  295.312620417 |   -15.4086969444 |  T |        X |        X |        S |        S |        17.0 |        X |        X |        X |        P |         6.6 |       X |       X |       X |       X |        2.2 |           |           |           |           |          nan |       X |       X |       X |       X |        0.0 |           |           |           |           |          nan |           |           |           |           |          nan |
|    1941+104 |  295.483522083 |    10.4468008333 |  T |          |          |          |          |         nan |        X |        X |        X |        S |        1.25 |       X |       X |       X |       X |        0.3 |         X |         X |         X |         X |         0.15 |         |         |         |         |        nan |           |           |           |           |          nan |           |           |           |           |          nan |
|    1942+414 |  295.744327083 |       41.4897425 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.11 |
|    1944+548 |  296.131302587 |    54.8019619667 |  B |          |          |          |          |         nan |        P |        P |        P |        S |        1.66 |         |         |         |         |        nan |         P |         P |         P |         P |         0.67 |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.15 |
|    1945+709 |  296.472999829 |    70.9302033444 |  B |          |          |          |          |         nan |        P |        P |        S |        X |        0.94 |       S |       S |       S |       S |       0.62 |         S |         S |         S |         S |         0.48 |       W |       W |       W |       W |        0.3 |           |           |           |           |          nan |         W |         W |         W |         W |          0.3 |
|    1947+128 |  296.831362917 |    12.8154002778 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.11 |
|    1948+359 |  297.018833333 |    35.9390761111 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.17 |
|    1949+506 |  297.431217083 |    50.6922172222 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.12 |
|    1949-199 |  297.472584071 |   -19.9537028889 |  A |          |          |          |          |         nan |        P |        P |        P |        ? |         1.3 |         |         |         |         |        nan |         P |         P |         P |         P |         0.62 |         |         |         |         |        nan |           |           |           |           |          nan |           |           |           |           |          nan |
|    1950+081 |  297.523084583 |    8.12055027778 |  A |          |          |          |          |         nan |        P |        S |        X |        X |         1.1 |       S |       S |       S |       S |        1.0 |         P |         P |         P |         P |         0.63 |       S |       S |       S |       S |        0.6 |           |           |           |           |          nan |         W |         W |         W |         W |         0.18 |
|    1951+574 |  297.779093917 |    57.4547712778 |  B |          |          |          |          |         nan |        S |        S |        X |        X |        0.43 |       S |       S |       S |       S |        0.3 |         S |         S |         S |         S |         0.24 |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.13 |
|    1952+254 |  298.201149583 |    25.4481661111 |  C |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |         X |         X |         X |         X |          0.4 |         |         |         |         |        nan |           |           |           |           |          nan |         ? |         ? |         W |         W |         0.35 |
|    1953+356 |  298.378648817 |    35.6331551083 |  A |          |          |          |          |         nan |        S |        S |        X |        X |        0.34 |       S |       S |       S |       S |        0.4 |         S |         S |         S |         S |          0.4 |       S |       S |       S |       S |        0.3 |         W |         W |         W |         W |         0.22 |         W |         W |         W |         W |         0.28 |
|    1955+139 |    298.7982142 |        13.971178 |  A |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |       S |       S |       S |       S |        0.4 |           |           |           |           |          nan |         W |         W |         W |         W |          0.4 |
|    1955+515 |  298.928076137 |    51.5301517306 |  A |          |          |          |          |         nan |        S |        X |        X |        X |         1.2 |       S |       S |       S |       S |        1.1 |         X |         S |         S |         S |          1.5 |       X |       S |       S |       S |        1.2 |           |           |           |           |          nan |         ? |         S |         S |         S |          1.4 |
|    1956-076 |    299.0462125 |       -7.6151575 |  T |        X |        S |        S |        7 |         1.0 |        X |        X |        X |        P |         1.7 |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |           |           |           |           |          nan |
|    1956+283 |  299.191804167 |    28.3494702778 |  C |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |         S |         S |         S |         S |         0.44 |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.24 |
|    1956-324 |    299.2478575 |   -32.4295213889 |  C |          |          |          |          |         nan |        S |        X |        X |        X |         0.5 |       S |       S |       S |       S |        0.5 |         S |         S |         S |         S |          0.4 |       S |       S |       S |       S |        0.5 |           |           |           |           |          nan |         W |         W |         W |         W |         0.58 |
|    1957+336 |  299.418958125 |    33.6410955639 |  A |          |          |          |          |         nan |        X |        X |        X |        X |        0.22 |       W |       W |       W |       W |        0.2 |         S |         S |         S |         S |         0.19 |       W |       W |       W |       W |        0.2 |         W |         W |         W |         W |         0.16 |         W |         W |         W |         W |         0.17 |
|    1957-387 |  299.499246962 |   -38.7517656278 |  A |          |          |          |          |         nan |        S |        S |        S |        X |         0.7 |       P |       P |       P |       P |        1.7 |         P |         P |         P |         P |          1.3 |       S |       S |       S |       S |        1.5 |           |           |           |           |          nan |         S |         S |         S |         S |          2.5 |
|    1959+651 |  299.999384583 |    65.1485188889 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.16 |
|    2000-178 |  300.237876867 |   -17.8160201417 |  A |          |          |          |          |         nan |        S |        S |        X |        X |         0.5 |       P |       P |       P |       X |        1.0 |         P |         P |         P |         P |         0.93 |       S |       S |       S |       S |        0.9 |           |           |           |           |          nan |         W |         W |         W |         W |          0.5 |
|    2001+104 |      300.29435 |    10.4661455556 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.12 |
|    2002+474 |  300.543409542 |    47.4246592778 |  A |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |       S |       S |       S |       S |        0.9 |           |           |           |           |          nan |         W |         W |         W |         W |          0.5 |
|    2002+150 |  300.674998333 |    15.0207230556 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.28 |
|    2002+451 |  300.717069167 |    45.1023163889 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.28 |
|    2003-328 |  300.850484608 |   -32.8625367528 |  A |          |          |          |          |         nan |        S |        S |        X |        X |         0.4 |       P |       P |       P |       S |        1.0 |         P |         P |         P |         P |         0.35 |       S |       S |       S |       S |        0.6 |           |           |           |           |          nan |         X |         W |         W |         W |         0.16 |
|    2003+305 |  300.876019583 |    30.5752180556 |  B |          |          |          |          |         nan |          |          |          |          |         nan |       S |       S |       ? |       ? |       0.37 |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |          0.3 |
|    2003+664 |  300.977146254 |       66.4323271 |  C |          |          |          |          |         nan |        P |        P |        X |        X |        1.02 |       S |       S |       S |       S |       0.47 |         S |         S |         S |         S |         0.31 |         |         |         |         |        nan |           |           |           |           |          nan |         X |         X |         X |         X |          0.0 |
|    2005+184 |   301.28501375 |       18.4262375 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.16 |
|    2005+778 |  301.379160496 |    77.8786798917 |  A |          |          |          |          |         nan |        P |        P |        P |        S |         1.0 |       P |       P |       P |       P |        1.6 |         P |         P |         P |         P |          2.5 |       P |       P |       P |       P |        1.6 |           |           |           |           |          nan |         S |         S |         S |         S |          1.0 |
